REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007924052,1.2.1.3.1.1.4.1,18330
2016,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007924053,1.2.1.3.1.1.4.2,31900
2016,Canada,2016A11124,"Career, technical or professional training certificate",Education [1],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007929974,1.2.2.3.1.1.4.1,770
2016,Canada,2016A11124,"Career, technical or professional training certificate",Education [1],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007929975,1.2.2.3.1.1.4.2,29400
2016,Canada,2016A11124,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930100,1.2.4.3.1.1.4.1,505
2016,Canada,2016A11124,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930101,1.2.4.3.1.1.4.2,24700
2016,Canada,2016A11124,"Career, technical or professional training certificate",Humanities [3],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930226,1.2.7.3.1.1.4.1,545
2016,Canada,2016A11124,"Career, technical or professional training certificate",Humanities [3],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930227,1.2.7.3.1.1.4.2,19400
2016,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioral sciences and law [4],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930352,1.2.16.3.1.1.4.1,1640
2016,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioral sciences and law [4],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930353,1.2.16.3.1.1.4.2,33500
2016,Canada,2016A11124,"Career, technical or professional training certificate","Business, management and public administration [5]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930478,1.2.24.3.1.1.4.1,3665
2016,Canada,2016A11124,"Career, technical or professional training certificate","Business, management and public administration [5]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930479,1.2.24.3.1.1.4.2,33100
2016,Canada,2016A11124,"Career, technical or professional training certificate",Physical and life sciences and technologies [6],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930604,1.2.27.3.1.1.4.1,0
2016,Canada,2016A11124,"Career, technical or professional training certificate","Mathematics, computer and information sciences [7]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930730,1.2.33.3.1.1.4.1,205
2016,Canada,2016A11124,"Career, technical or professional training certificate","Mathematics, computer and information sciences [7]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930731,1.2.33.3.1.1.4.2,35800
2016,Canada,2016A11124,"Career, technical or professional training certificate","Architecture, engineering, and related technologies [8]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930856,1.2.38.3.1.1.4.1,1170
2016,Canada,2016A11124,"Career, technical or professional training certificate","Architecture, engineering, and related technologies [8]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930857,1.2.38.3.1.1.4.2,32700
2016,Canada,2016A11124,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930982,1.2.46.3.1.1.4.1,185
2016,Canada,2016A11124,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930983,1.2.46.3.1.1.4.2,24000
2016,Canada,2016A11124,"Career, technical or professional training certificate",Health and related fields [10],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007931108,1.2.49.3.1.1.4.1,7955
2016,Canada,2016A11124,"Career, technical or professional training certificate",Health and related fields [10],Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007931109,1.2.49.3.1.1.4.2,33200
2016,Canada,2016A11124,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007931234,1.2.53.3.1.1.4.1,1690
2016,Canada,2016A11124,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Female gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007931235,1.2.53.3.1.1.4.2,27700
