REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007924010,1.2.1.2.1.1.4.1,15600
2016,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007924011,1.2.1.2.1.1.4.2,38400
2016,Canada,2016A11124,"Career, technical or professional training certificate",Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007929932,1.2.2.2.1.1.4.1,95
2016,Canada,2016A11124,"Career, technical or professional training certificate",Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007929933,1.2.2.2.1.1.4.2,32500
2016,Canada,2016A11124,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930058,1.2.4.2.1.1.4.1,440
2016,Canada,2016A11124,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930059,1.2.4.2.1.1.4.2,28200
2016,Canada,2016A11124,"Career, technical or professional training certificate",Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930184,1.2.7.2.1.1.4.1,365
2016,Canada,2016A11124,"Career, technical or professional training certificate",Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930185,1.2.7.2.1.1.4.2,22900
2016,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930310,1.2.16.2.1.1.4.1,215
2016,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930311,1.2.16.2.1.1.4.2,37300
2016,Canada,2016A11124,"Career, technical or professional training certificate","Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930436,1.2.24.2.1.1.4.1,1180
2016,Canada,2016A11124,"Career, technical or professional training certificate","Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930437,1.2.24.2.1.1.4.2,36800
2016,Canada,2016A11124,"Career, technical or professional training certificate",Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930562,1.2.27.2.1.1.4.1,5
2016,Canada,2016A11124,"Career, technical or professional training certificate",Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930563,1.2.27.2.1.1.4.2,
2016,Canada,2016A11124,"Career, technical or professional training certificate","Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930688,1.2.33.2.1.1.4.1,520
2016,Canada,2016A11124,"Career, technical or professional training certificate","Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930689,1.2.33.2.1.1.4.2,43700
2016,Canada,2016A11124,"Career, technical or professional training certificate","Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930814,1.2.38.2.1.1.4.1,9405
2016,Canada,2016A11124,"Career, technical or professional training certificate","Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930815,1.2.38.2.1.1.4.2,38900
2016,Canada,2016A11124,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930940,1.2.46.2.1.1.4.1,180
2016,Canada,2016A11124,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930941,1.2.46.2.1.1.4.2,37400
2016,Canada,2016A11124,"Career, technical or professional training certificate",Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007931066,1.2.49.2.1.1.4.1,1220
2016,Canada,2016A11124,"Career, technical or professional training certificate",Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007931067,1.2.49.2.1.1.4.2,40100
2016,Canada,2016A11124,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007931192,1.2.53.2.1.1.4.1,1975
2016,Canada,2016A11124,"Career, technical or professional training certificate","Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007931193,1.2.53.2.1.1.4.2,40700
2016,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007931444,1.3.1.2.1.1.4.1,35910
2016,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007931445,1.3.1.2.1.1.4.2,41900
2016,Canada,2016A11124,"Career, technical or professional training diploma",Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937366,1.3.2.2.1.1.4.1,305
2016,Canada,2016A11124,"Career, technical or professional training diploma",Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937367,1.3.2.2.1.1.4.2,45600
2016,Canada,2016A11124,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937492,1.3.4.2.1.1.4.1,2155
2016,Canada,2016A11124,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937493,1.3.4.2.1.1.4.2,29700
2016,Canada,2016A11124,"Career, technical or professional training diploma",Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937618,1.3.7.2.1.1.4.1,780
2016,Canada,2016A11124,"Career, technical or professional training diploma",Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937619,1.3.7.2.1.1.4.2,37600
2016,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937744,1.3.16.2.1.1.4.1,1340
2016,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937745,1.3.16.2.1.1.4.2,36200
2016,Canada,2016A11124,"Career, technical or professional training diploma","Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937870,1.3.24.2.1.1.4.1,8315
2016,Canada,2016A11124,"Career, technical or professional training diploma","Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937871,1.3.24.2.1.1.4.2,38400
2016,Canada,2016A11124,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937996,1.3.27.2.1.1.4.1,525
2016,Canada,2016A11124,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937997,1.3.27.2.1.1.4.2,41400
2016,Canada,2016A11124,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938122,1.3.33.2.1.1.4.1,1935
2016,Canada,2016A11124,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938123,1.3.33.2.1.1.4.2,43100
2016,Canada,2016A11124,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938248,1.3.38.2.1.1.4.1,13175
2016,Canada,2016A11124,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938249,1.3.38.2.1.1.4.2,47100
2016,Canada,2016A11124,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938374,1.3.46.2.1.1.4.1,830
2016,Canada,2016A11124,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938375,1.3.46.2.1.1.4.2,40000
2016,Canada,2016A11124,"Career, technical or professional training diploma",Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938500,1.3.49.2.1.1.4.1,2840
2016,Canada,2016A11124,"Career, technical or professional training diploma",Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938501,1.3.49.2.1.1.4.2,48000
2016,Canada,2016A11124,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938626,1.3.53.2.1.1.4.1,3570
2016,Canada,2016A11124,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938627,1.3.53.2.1.1.4.2,38700
2016,Canada,2016A11124,"Career, technical or professional training diploma",Other instructional programs [12],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007938752,1.3.58.2.1.1.4.1,140
2016,Canada,2016A11124,"Career, technical or professional training diploma",Other instructional programs [12],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007938753,1.3.58.2.1.1.4.2,40800
2016,Canada,2016A11124,Undergraduate degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007998350,1.12.1.2.1.1.4.1,50370
2016,Canada,2016A11124,Undergraduate degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007998351,1.12.1.2.1.1.4.2,49900
2016,Canada,2016A11124,Undergraduate degree,Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004272,1.12.2.2.1.1.4.1,2200
2016,Canada,2016A11124,Undergraduate degree,Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004273,1.12.2.2.1.1.4.2,52900
2016,Canada,2016A11124,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004398,1.12.4.2.1.1.4.1,1910
2016,Canada,2016A11124,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004399,1.12.4.2.1.1.4.2,31100
2016,Canada,2016A11124,Undergraduate degree,Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004524,1.12.7.2.1.1.4.1,2790
2016,Canada,2016A11124,Undergraduate degree,Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004525,1.12.7.2.1.1.4.2,36300
2016,Canada,2016A11124,Undergraduate degree,Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004650,1.12.16.2.1.1.4.1,8265
2016,Canada,2016A11124,Undergraduate degree,Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004651,1.12.16.2.1.1.4.2,41100
2016,Canada,2016A11124,Undergraduate degree,"Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004776,1.12.24.2.1.1.4.1,14395
2016,Canada,2016A11124,Undergraduate degree,"Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004777,1.12.24.2.1.1.4.2,49800
2016,Canada,2016A11124,Undergraduate degree,Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008004902,1.12.27.2.1.1.4.1,3065
2016,Canada,2016A11124,Undergraduate degree,Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008004903,1.12.27.2.1.1.4.2,40800
2016,Canada,2016A11124,Undergraduate degree,"Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005028,1.12.33.2.1.1.4.1,2890
2016,Canada,2016A11124,Undergraduate degree,"Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005029,1.12.33.2.1.1.4.2,59400
2016,Canada,2016A11124,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005154,1.12.38.2.1.1.4.1,9840
2016,Canada,2016A11124,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005155,1.12.38.2.1.1.4.2,62600
2016,Canada,2016A11124,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005280,1.12.46.2.1.1.4.1,865
2016,Canada,2016A11124,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005281,1.12.46.2.1.1.4.2,47000
2016,Canada,2016A11124,Undergraduate degree,Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005406,1.12.49.2.1.1.4.1,3265
2016,Canada,2016A11124,Undergraduate degree,Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005407,1.12.49.2.1.1.4.2,51600
2016,Canada,2016A11124,Undergraduate degree,"Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005532,1.12.53.2.1.1.4.1,505
2016,Canada,2016A11124,Undergraduate degree,"Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005533,1.12.53.2.1.1.4.2,52400
2016,Canada,2016A11124,Undergraduate degree,Other instructional programs [12],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008005658,1.12.58.2.1.1.4.1,380
2016,Canada,2016A11124,Undergraduate degree,Other instructional programs [12],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008005659,1.12.58.2.1.1.4.2,46400
2016,Canada,2016A11124,Professional degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008132162,1.30.1.2.1.1.4.1,2685
2016,Canada,2016A11124,Professional degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008132163,1.30.1.2.1.1.4.2,78100
2016,Canada,2016A11124,Professional degree,Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008138462,1.30.16.2.1.1.4.1,1465
2016,Canada,2016A11124,Professional degree,Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008138463,1.30.16.2.1.1.4.2,71000
2016,Canada,2016A11124,Professional degree,Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008139218,1.30.49.2.1.1.4.1,1220
2016,Canada,2016A11124,Professional degree,Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008139219,1.30.49.2.1.1.4.2,88600
2016,Canada,2016A11124,Master's degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008065256,1.21.1.2.1.1.4.1,15820
2016,Canada,2016A11124,Master's degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008065257,1.21.1.2.1.1.4.2,68100
2016,Canada,2016A11124,Master's degree,Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071178,1.21.2.2.1.1.4.1,1050
2016,Canada,2016A11124,Master's degree,Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071179,1.21.2.2.1.1.4.2,85600
2016,Canada,2016A11124,Master's degree,"Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071304,1.21.4.2.1.1.4.1,255
2016,Canada,2016A11124,Master's degree,"Visual and performing arts, and communications technologies [2]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071305,1.21.4.2.1.1.4.2,30600
2016,Canada,2016A11124,Master's degree,Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071430,1.21.7.2.1.1.4.1,450
2016,Canada,2016A11124,Master's degree,Humanities [3],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071431,1.21.7.2.1.1.4.2,43000
2016,Canada,2016A11124,Master's degree,Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071556,1.21.16.2.1.1.4.1,1490
2016,Canada,2016A11124,Master's degree,Social and behavioral sciences and law [4],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071557,1.21.16.2.1.1.4.2,59700
2016,Canada,2016A11124,Master's degree,"Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071682,1.21.24.2.1.1.4.1,5195
2016,Canada,2016A11124,Master's degree,"Business, management and public administration [5]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071683,1.21.24.2.1.1.4.2,82200
2016,Canada,2016A11124,Master's degree,Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071808,1.21.27.2.1.1.4.1,790
2016,Canada,2016A11124,Master's degree,Physical and life sciences and technologies [6],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071809,1.21.27.2.1.1.4.2,53900
2016,Canada,2016A11124,Master's degree,"Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008071934,1.21.33.2.1.1.4.1,1085
2016,Canada,2016A11124,Master's degree,"Mathematics, computer and information sciences [7]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008071935,1.21.33.2.1.1.4.2,72300
2016,Canada,2016A11124,Master's degree,"Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072060,1.21.38.2.1.1.4.1,3980
2016,Canada,2016A11124,Master's degree,"Architecture, engineering, and related technologies [8]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072061,1.21.38.2.1.1.4.2,62100
2016,Canada,2016A11124,Master's degree,"Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072186,1.21.46.2.1.1.4.1,370
2016,Canada,2016A11124,Master's degree,"Agriculture, natural resources and conservation [9]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072187,1.21.46.2.1.1.4.2,55500
2016,Canada,2016A11124,Master's degree,Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072312,1.21.49.2.1.1.4.1,1030
2016,Canada,2016A11124,Master's degree,Health and related fields [10],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072313,1.21.49.2.1.1.4.2,70900
2016,Canada,2016A11124,Master's degree,"Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072438,1.21.53.2.1.1.4.1,55
2016,Canada,2016A11124,Master's degree,"Personal, protective and transportation services [11]",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072439,1.21.53.2.1.1.4.2,90300
2016,Canada,2016A11124,Master's degree,Other instructional programs [12],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008072564,1.21.58.2.1.1.4.1,70
2016,Canada,2016A11124,Master's degree,Other instructional programs [12],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008072565,1.21.58.2.1.1.4.2,68800
2016,Canada,2016A11124,Doctoral degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008094992,1.25.1.2.1.1.4.1,2925
2016,Canada,2016A11124,Doctoral degree,"Total, field of study",Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008094993,1.25.1.2.1.1.4.2,70400
2016,Canada,2016A11124,Doctoral degree,Education [1],Male gender,15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008100914,1.25.2.2.1.1.4.1,90
