REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007923968,1.2.1.1.1.1.4.1,33930
2016,Canada,2016A11124,"Career, technical or professional training certificate","Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007923969,1.2.1.1.1.1.4.2,34700
2016,Canada,2016A11124,"Career, technical or professional training certificate",Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007929890,1.2.2.1.1.1.4.1,865
2016,Canada,2016A11124,"Career, technical or professional training certificate",Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007929891,1.2.2.1.1.1.4.2,29700
2016,Canada,2016A11124,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930016,1.2.4.1.1.1.4.1,945
2016,Canada,2016A11124,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930017,1.2.4.1.1.1.4.2,26600
2016,Canada,2016A11124,"Career, technical or professional training certificate",Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930142,1.2.7.1.1.1.4.1,910
2016,Canada,2016A11124,"Career, technical or professional training certificate",Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930143,1.2.7.1.1.1.4.2,20900
2016,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930268,1.2.16.1.1.1.4.1,1855
2016,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930269,1.2.16.1.1.1.4.2,33600
2016,Canada,2016A11124,"Career, technical or professional training certificate","Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930394,1.2.24.1.1.1.4.1,4845
2016,Canada,2016A11124,"Career, technical or professional training certificate","Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930395,1.2.24.1.1.1.4.2,33900
2016,Canada,2016A11124,"Career, technical or professional training certificate",Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930520,1.2.27.1.1.1.4.1,5
2016,Canada,2016A11124,"Career, technical or professional training certificate",Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930521,1.2.27.1.1.1.4.2,
2016,Canada,2016A11124,"Career, technical or professional training certificate","Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930646,1.2.33.1.1.1.4.1,725
2016,Canada,2016A11124,"Career, technical or professional training certificate","Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930647,1.2.33.1.1.1.4.2,42700
2016,Canada,2016A11124,"Career, technical or professional training certificate","Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007930772,1.2.38.1.1.1.4.1,10575
2016,Canada,2016A11124,"Career, technical or professional training certificate","Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007930773,1.2.38.1.1.1.4.2,38200
